rehearse	リハーサルをする、暗唱（復唱）する
propagate	"広める、伝播する、増殖する<div>propagandaでプロパガンダ、（国が行う）宣伝</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/How+do"">How do</a>&nbsp;these&nbsp;<a href=""https://ejje.weblio.jp/content/plants"">plants</a>&nbsp;propagate&nbsp;<a href=""https://ejje.weblio.jp/content/themselves"">themselves</a>?</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%93%E3%82%8C%E3%82%89%E3%81%AE"">これらの</a><a href=""https://ejje.weblio.jp/content/%E6%A4%8D%E7%89%A9"">植物</a><a href=""https://ejje.weblio.jp/content/%E3%81%AF%E3%81%A9%E3%81%86"">はどう</a>やって<a href=""https://ejje.weblio.jp/content/%E7%B9%81%E6%AE%96%E3%81%99%E3%82%8B"">繁殖する</a>の<a href=""https://ejje.weblio.jp/content/%E3%81%A0%E3%82%8D%E3%81%86%E3%81%8B"">だろうか</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Who+is"">Who is</a>&nbsp;<a href=""https://ejje.weblio.jp/content/propagating"">propagating</a>&nbsp;that&nbsp;<a href=""https://ejje.weblio.jp/content/nonsense"">nonsense</a>?</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%A0%E3%82%8C%E3%81%8C"">だれが</a><a href=""https://ejje.weblio.jp/content/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%B0%E3%81%8B%E3%81%AA"">そんなばかな</a><a href=""https://ejje.weblio.jp/content/%E8%80%83%E3%81%88"">考え</a>を<a href=""https://ejje.weblio.jp/content/%E8%A8%80"">言</a>いふら<a href=""https://ejje.weblio.jp/content/%E3%81%97%E3%81%A6%E3%81%84%E3%82%8B"">している</a>のだ.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
incumbent	"現職の、義務である<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;incumbent&nbsp;<a href=""https://ejje.weblio.jp/content/mayor"">mayor</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%8F%BE%E8%81%B7%E5%B8%82%E9%95%B7"">現職市長</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/It%27s"">It's</a>&nbsp;incumbent&nbsp;<a href=""https://ejje.weblio.jp/content/on"">on</a>&nbsp;[upon] you&nbsp;<a href=""https://ejje.weblio.jp/content/to+do"">to do</a>&nbsp;your best.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%9C%80%E5%96%84%E3%82%92%E5%B0%BD%E3%81%8F%E3%81%99"">最善を尽くす</a>のが<a href=""https://ejje.weblio.jp/content/%E5%90%9B%E3%81%AE"">君の</a><a href=""https://ejje.weblio.jp/content/%E8%B2%AC%E4%BB%BB"">責任</a>だ.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
rupture	"破裂、不和、破裂させる、裂く<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;rupture&nbsp;<a href=""https://ejje.weblio.jp/content/of+a"">of a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/blood+vessel"">blood vessel</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%A1%80%E7%AE%A1%E3%81%AE%E7%A0%B4%E8%A3%82"">血管の破裂</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">a&nbsp;rupture&nbsp;<a href=""https://ejje.weblio.jp/content/between"">between</a>&nbsp;<a href=""https://ejje.weblio.jp/content/friends"">friends</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BB%B2%E3%81%9F%E3%81%8C%E3%81%84"">仲たがい</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">rupture&nbsp;<a href=""https://ejje.weblio.jp/content/a+blood"">a blood</a>&nbsp;<a href=""https://ejje.weblio.jp/content/vessel"">vessel</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%A1%80%E7%AE%A1%E3%82%92%E7%A0%B4%E3%82%8B"">血管を破る</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">rupture&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/connection"">connection</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%96%A2%E4%BF%82%E3%82%92%E6%96%AD%E3%81%A4"">関係を断つ</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/%E7%B8%81%E5%88%87%E3%82%8A"">縁切り</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E3%81%99%E3%82%8B"">をする</a>.</span><br></div>"
mire	ぬかるみ、泥沼、泥にはまる、苦境に陥れる
streak	"すばやく動く、筋を付ける、細長い線、一筋<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;has&nbsp;<a href=""https://ejje.weblio.jp/content/streaks"">streaks</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/gray"">gray</a>&nbsp;<a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;his hair.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E9%AB%AA%E3%81%AE%E6%AF%9B"">髪の毛</a>に<a href=""https://ejje.weblio.jp/content/%E7%99%BD%E9%AB%AA"">白髪</a>がま<a href=""https://ejje.weblio.jp/content/%E3%81%98%E3%81%A3%E3%81%A6%E3%81%84"">じってい</a>る.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/streaks+of+lightning"">streaks of lightning</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%A8%B2%E5%A6%BB"">稲妻</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">When I&nbsp;<a href=""https://ejje.weblio.jp/content/opened"">opened</a>&nbsp;<a href=""https://ejje.weblio.jp/content/the+door"">the door</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/the+cat"">the cat</a>&nbsp;<a href=""https://ejje.weblio.jp/content/streaked"">streaked</a>&nbsp;out.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%89%E3%82%A2%E3%82%92%E9%96%8B%E3%81%91%E3%82%8B"">ドアを開ける</a>と<a href=""https://ejje.weblio.jp/content/%E7%8C%AB"">猫</a><a href=""https://ejje.weblio.jp/content/%E3%81%8C%E3%81%95%E3%81%A3"">がさっ</a>ととび<a href=""https://ejje.weblio.jp/content/%E5%87%BA%E3%81%97"">出し</a>てきた.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">His&nbsp;<a href=""https://ejje.weblio.jp/content/hair"">hair</a>&nbsp;was&nbsp;<a href=""https://ejje.weblio.jp/content/streaked"">streaked</a>&nbsp;with gray.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AE"">彼の</a><a href=""https://ejje.weblio.jp/content/%E9%AB%AA"">髪</a>は<a href=""https://ejje.weblio.jp/content/%E7%99%BD%E9%AB%AA%E3%81%BE%E3%81%98%E3%82%8A"">白髪まじり</a><a href=""https://ejje.weblio.jp/content/%E3%81%A0%E3%81%A3%E3%81%9F"">だった</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
till	耕す
irreverence	不敬（な行動）、非礼、軽視
pit	"対抗させる、穴を開ける、落とし穴、くぼみ、採掘場<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/dig+a"">dig a</a>&nbsp;pit&nbsp;<a href=""https://ejje.weblio.jp/content/for+a"">for a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%BA"">人</a>を<a href=""https://ejje.weblio.jp/content/%E9%99%A5"">陥</a>れ<a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%86%E3%81%A8"">ようと</a><a href=""https://ejje.weblio.jp/content/%E4%BC%81%E3%81%A6%E3%82%8B"">企てる</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;pit&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/stomach"">stomach</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%BF%E3%81%9E%E3%81%8A%E3%81%A1"">みぞおち</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">You can&nbsp;pit&nbsp;your&nbsp;<a href=""https://ejje.weblio.jp/content/brains"">brains</a>&nbsp;<a href=""https://ejje.weblio.jp/content/against"">against</a>&nbsp;his strength.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%90%9B%E3%81%AF"">君は</a><a href=""https://ejje.weblio.jp/content/%E7%9F%A5%E6%81%B5"">知恵</a>で<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AE"">彼の</a><a href=""https://ejje.weblio.jp/content/%E5%8A%9B"">力</a>に<a href=""https://ejje.weblio.jp/content/%E5%AF%BE%E6%8A%97%E3%81%A7%E3%81%8D%E3%82%8B"">対抗できる</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
brazen	"厚かましい、真鍮の<div><div><a href=""https://ejje.weblio.jp/content/in+a"">in a</a>&nbsp;<b>brazen</b>&nbsp;<a href=""https://ejje.weblio.jp/content/manner"">manner</a>&nbsp;厚かましい方法で</div></div>"
incidence	"負担、（事故や病気などの）発生、（影響の）範囲<div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/a+high"">a high</a>&nbsp;incidence&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/lung+cancer"">lung cancer</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E8%82%BA%E3%81%8C%E3%82%93"">肺がん</a>の<a href=""https://ejje.weblio.jp/content/%E9%AB%98%E3%81%84"">高い</a><a href=""https://ejje.weblio.jp/content/%E7%BD%B9%E7%97%85"">罹病</a>(<sub>り</sub><sub>びよ</sub><sub>う</sub>)<a href=""https://ejje.weblio.jp/content/%E7%8E%87"">率</a>.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/decrease"">decrease</a>&nbsp;the&nbsp;incidence&nbsp;<a href=""https://ejje.weblio.jp/content/of+a"">of a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/disease"">disease</a></span>&nbsp;ある<a href=""https://ejje.weblio.jp/content/%E7%97%85%E6%B0%97%E3%81%AE"">病気の</a><a href=""https://ejje.weblio.jp/content/%E7%99%BA%E7%94%9F%E7%8E%87"">発生率</a>を<a href=""https://ejje.weblio.jp/content/%E6%B8%9B%E3%82%89%E3%81%99"">減らす</a>.</div></div></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">What&nbsp;<a href=""https://ejje.weblio.jp/content/is"">is</a>&nbsp;the&nbsp;incidence&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/tax"">tax</a>?</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">この<a href=""https://ejje.weblio.jp/content/%E7%A8%8E"">税</a>は<a href=""https://ejje.weblio.jp/content/%E3%81%A0%E3%82%8C%E3%81%AE"">だれの</a><a href=""https://ejje.weblio.jp/content/%E8%B2%A0%E6%8B%85%E3%81%A8%E3%81%AA%E3%82%8B"">負担となる</a>のか.</span><br></div>"
salvage	"（名）海難救助、（沈没船の）引き揚げ<div>（形）廃品回収の</div><div>（動）救助する、（廃物を）利用する</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/salvaged+wastepaper"">salvaged wastepaper</a>&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">(<a href=""https://ejje.weblio.jp/content/%E5%8F%A4%E7%B4%99"">古紙</a>の)<a href=""https://ejje.weblio.jp/content/%E5%86%8D%E7%94%9F%E7%B4%99"">再生紙</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">a&nbsp;salvage&nbsp;<a href=""https://ejje.weblio.jp/content/campaign"">campaign</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BB%83%E5%93%81%E5%9B%9E%E5%8F%8E%E9%81%8B%E5%8B%95"">廃品回収運動</a>.</span><br></div>"
countermeasure	対応策
urine	尿
frenetic	熱狂した、逆上した
insomnia	不眠症
treatise	（学術）論文
anthropoid	類人猿、（動物が）人間に似た
steadfast	"忠実な、固定した、しっかりした<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">steadfast&nbsp;<a href=""https://ejje.weblio.jp/content/friendship"">friendship</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%A4%89%E3%82%8F%E3%82%89%E3%81%AC%E5%8F%8B%E6%83%85"">変わらぬ友情</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He%27s"">He's</a>&nbsp;steadfast&nbsp;<a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;his faith.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E4%BF%A1%E5%BF%B5"">信念</a>を<a href=""https://ejje.weblio.jp/content/%E6%9B%B2%E3%81%92"">曲げ</a>ない.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
amnesty	"恩赦<div><div><div><span style=""font-weight: bold;"">under a&nbsp;<a href=""https://ejje.weblio.jp/content/general"">general</a>&nbsp;amnesty</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%A4%A7%E6%81%A9%E8%B5%A6%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6"">大恩赦によって</a>.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/grant"">grant</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/give"">give</a>] (<a href=""https://ejje.weblio.jp/content/an"">an</a>)&nbsp;amnesty&nbsp;(<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/offenders"">offenders</a>)&nbsp;</span>(<a href=""https://ejje.weblio.jp/content/%E7%BD%AA%E4%BA%BA"">罪人</a>たちに)<a href=""https://ejje.weblio.jp/content/%E6%81%A9%E8%B5%A6"">恩赦</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E8%A1%8C%E3%81%AA%E3%81%86"">を行なう</a>.</div></div></div>"
piety	信心、敬虔<div>piousで敬虔な、信心深い、立派な</div>
adversity	"不運、不幸<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/meet+with"">meet with</a>&nbsp;adversity</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%80%86%E5%A2%83%E3%81%AB%E3%81%B6%E3%81%A4%E3%81%8B%E3%82%8B"">逆境にぶつかる</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/overcome"">overcome</a>&nbsp;<a href=""https://ejje.weblio.jp/content/adversities"">adversities</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%81%BD%E9%9B%A3"">災難</a>に<a href=""https://ejje.weblio.jp/content/%E6%89%93%E3%81%A1%E5%8B%9D%E3%81%A4"">打ち勝つ</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
